"ags","region","anteil_18_24","tooltip"
"01001","Flensburg (Stadt)",9.87632619750141,"Hier leben rund <b>   79 650</b> deutsche Personen, davon sind etwa <b>  7870</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 9,9 Prozent</b>."
"01002","Kiel (Stadt)",10.1565015778966,"Hier leben rund <b>  217 380</b> deutsche Personen, davon sind etwa <b> 22 080</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b>10,2 Prozent</b>."
"01003","Lübeck (Stadt)",7.53875208216184,"Hier leben rund <b>  188 510</b> deutsche Personen, davon sind etwa <b> 14 210</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,5 Prozent</b>."
"01004","Neumünster (Stadt)",7.2567424451247,"Hier leben rund <b>   68 930</b> deutsche Personen, davon sind etwa <b>  5000</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,3 Prozent</b>."
"01051","Dithmarschen",6.26235399820305,"Hier leben rund <b>  122 430</b> deutsche Personen, davon sind etwa <b>  7670</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"01053","Herzogtum Lauenburg",6.12249306103053,"Hier leben rund <b>  185 190</b> deutsche Personen, davon sind etwa <b> 11 340</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"01054","Nordfriesland",6.19362480313423,"Hier leben rund <b>  153 660</b> deutsche Personen, davon sind etwa <b>  9520</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"01055","Ostholstein",5.31947515372573,"Hier leben rund <b>  185 880</b> deutsche Personen, davon sind etwa <b>  9890</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,3 Prozent</b>."
"01056","Pinneberg",6.42231569499699,"Hier leben rund <b>  280 770</b> deutsche Personen, davon sind etwa <b> 18 030</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
"01057","Plön",5.41214301374757,"Hier leben rund <b>  123 150</b> deutsche Personen, davon sind etwa <b>  6660</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,4 Prozent</b>."
"01058","Rendsburg-Eckernförde",6.03316562750787,"Hier leben rund <b>  259 180</b> deutsche Personen, davon sind etwa <b> 15 640</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,0 Prozent</b>."
"01059","Schleswig-Flensburg",5.85949707285568,"Hier leben rund <b>  192 000</b> deutsche Personen, davon sind etwa <b> 11 250</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,9 Prozent</b>."
"01060","Segeberg",6.1805679056257,"Hier leben rund <b>  253 030</b> deutsche Personen, davon sind etwa <b> 15 640</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"01061","Steinburg",6.05753546537492,"Hier leben rund <b>  121 390</b> deutsche Personen, davon sind etwa <b>  7350</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"01062","Stormarn",5.8944436483485,"Hier leben rund <b>  223 310</b> deutsche Personen, davon sind etwa <b> 13 160</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,9 Prozent</b>."
"02000","Hamburg",7.55166138545899,"Hier leben rund <b>1 503 440</b> deutsche Personen, davon sind etwa <b>113 540</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,6 Prozent</b>."
"03101","Braunschweig (Stadt)",7.88526571688555,"Hier leben rund <b>  220 890</b> deutsche Personen, davon sind etwa <b> 17 420</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,9 Prozent</b>."
"03102","Salzgitter (Stadt)",7.05910823401295,"Hier leben rund <b>   82 640</b> deutsche Personen, davon sind etwa <b>  5830</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,1 Prozent</b>."
"03103","Wolfsburg (Stadt)",6.64746706954346,"Hier leben rund <b>  105 910</b> deutsche Personen, davon sind etwa <b>  7040</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"03151","Gifhorn",6.03481960665133,"Hier leben rund <b>  161 230</b> deutsche Personen, davon sind etwa <b>  9730</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,0 Prozent</b>."
"03153","Goslar",5.66308243727598,"Hier leben rund <b>  113 000</b> deutsche Personen, davon sind etwa <b>  6400</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,7 Prozent</b>."
"03154","Helmstedt",5.62826585925673,"Hier leben rund <b>   81 910</b> deutsche Personen, davon sind etwa <b>  4610</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,6 Prozent</b>."
"03155","Northeim",5.89638866876246,"Hier leben rund <b>  114 830</b> deutsche Personen, davon sind etwa <b>  6770</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,9 Prozent</b>."
"03157","Peine",6.35236740499898,"Hier leben rund <b>  123 020</b> deutsche Personen, davon sind etwa <b>  7820</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
"03158","Wolfenbüttel",5.94245146814048,"Hier leben rund <b>  108 740</b> deutsche Personen, davon sind etwa <b>  6460</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,9 Prozent</b>."
"03159","Göttingen",7.68066512548853,"Hier leben rund <b>  289 390</b> deutsche Personen, davon sind etwa <b> 22 230</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,7 Prozent</b>."
"03241","Region Hannover",7.1247946506831,"Hier leben rund <b>  952 640</b> deutsche Personen, davon sind etwa <b> 67 870</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,1 Prozent</b>."
"03251","Diepholz",6.2421596668172,"Hier leben rund <b>  199 290</b> deutsche Personen, davon sind etwa <b> 12 440</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"03252","Hameln-Pyrmont",6.0356747259463,"Hier leben rund <b>  130 900</b> deutsche Personen, davon sind etwa <b>  7900</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,0 Prozent</b>."
"03254","Hildesheim",7.14446538467953,"Hier leben rund <b>  239 840</b> deutsche Personen, davon sind etwa <b> 17 140</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,1 Prozent</b>."
"03255","Holzminden",6.28462046651873,"Hier leben rund <b>   59 030</b> deutsche Personen, davon sind etwa <b>  3710</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"03256","Nienburg (Weser)",6.62146685601722,"Hier leben rund <b>  109 140</b> deutsche Personen, davon sind etwa <b>  7230</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"03257","Schaumburg",6.18159866482014,"Hier leben rund <b>  140 810</b> deutsche Personen, davon sind etwa <b>  8700</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"03351","Celle",6.25761548423316,"Hier leben rund <b>  156 750</b> deutsche Personen, davon sind etwa <b>  9810</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"03352","Cuxhaven",5.71203947190067,"Hier leben rund <b>  184 440</b> deutsche Personen, davon sind etwa <b> 10 540</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,7 Prozent</b>."
"03353","Harburg",6.09682431897618,"Hier leben rund <b>  240 040</b> deutsche Personen, davon sind etwa <b> 14 640</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"03354","Lüchow-Dannenberg",5.46865975094148,"Hier leben rund <b>   43 280</b> deutsche Personen, davon sind etwa <b>  2370</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,5 Prozent</b>."
"03355","Lüneburg",7.43150165366993,"Hier leben rund <b>  164 780</b> deutsche Personen, davon sind etwa <b> 12 250</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,4 Prozent</b>."
"03356","Osterholz",5.85802568446156,"Hier leben rund <b>  105 670</b> deutsche Personen, davon sind etwa <b>  6190</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,9 Prozent</b>."
"03357","Rotenburg (Wümme)",6.83406935065449,"Hier leben rund <b>  151 490</b> deutsche Personen, davon sind etwa <b> 10 350</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"03358","Heidekreis",6.5006483463263,"Hier leben rund <b>  128 020</b> deutsche Personen, davon sind etwa <b>  8320</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,5 Prozent</b>."
"03359","Stade",6.42810845846386,"Hier leben rund <b>  185 140</b> deutsche Personen, davon sind etwa <b> 11 900</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
"03360","Uelzen",6.08321000620614,"Hier leben rund <b>   83 790</b> deutsche Personen, davon sind etwa <b>  5100</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"03361","Verden",6.32325232331619,"Hier leben rund <b>  125 250</b> deutsche Personen, davon sind etwa <b>  7920</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"03401","Delmenhorst (Stadt)",7.07988444670628,"Hier leben rund <b>   66 810</b> deutsche Personen, davon sind etwa <b>  4730</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,1 Prozent</b>."
"03402","Emden (Stadt)",7.44521796009905,"Hier leben rund <b>   42 810</b> deutsche Personen, davon sind etwa <b>  3190</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,4 Prozent</b>."
"03403","Oldenburg (Stadt)",8.61014409445259,"Hier leben rund <b>  154 830</b> deutsche Personen, davon sind etwa <b> 13 330</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,6 Prozent</b>."
"03404","Osnabrück (Stadt)",10.6208997019277,"Hier leben rund <b>  138 560</b> deutsche Personen, davon sind etwa <b> 14 720</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b>10,6 Prozent</b>."
"03405","Wilhelmshaven (Stadt)",6.58758705135073,"Hier leben rund <b>   65 340</b> deutsche Personen, davon sind etwa <b>  4300</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"03451","Ammerland",6.2691861654956,"Hier leben rund <b>  117 270</b> deutsche Personen, davon sind etwa <b>  7350</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"03452","Aurich",6.32590402547191,"Hier leben rund <b>  175 880</b> deutsche Personen, davon sind etwa <b> 11 130</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"03453","Cloppenburg",7.74816496008501,"Hier leben rund <b>  152 450</b> deutsche Personen, davon sind etwa <b> 11 810</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,7 Prozent</b>."
"03454","Emsland",6.95462439021022,"Hier leben rund <b>  289 650</b> deutsche Personen, davon sind etwa <b> 20 140</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,0 Prozent</b>."
"03455","Friesland",5.59908517216552,"Hier leben rund <b>   94 440</b> deutsche Personen, davon sind etwa <b>  5290</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 5,6 Prozent</b>."
"03456","Grafschaft Bentheim",6.82494288578801,"Hier leben rund <b>  121 690</b> deutsche Personen, davon sind etwa <b>  8300</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"03457","Leer",6.54491202125362,"Hier leben rund <b>  152 820</b> deutsche Personen, davon sind etwa <b> 10 000</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,5 Prozent</b>."
"03458","Oldenburg (Land)",6.28545609719363,"Hier leben rund <b>  119 510</b> deutsche Personen, davon sind etwa <b>  7510</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"03459","Osnabrück (Land)",6.62700117688816,"Hier leben rund <b>  321 190</b> deutsche Personen, davon sind etwa <b> 21 280</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"03460","Vechta",7.89863852310047,"Hier leben rund <b>  125 450</b> deutsche Personen, davon sind etwa <b>  9910</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,9 Prozent</b>."
"03461","Wesermarsch",6.48494833008836,"Hier leben rund <b>   80 120</b> deutsche Personen, davon sind etwa <b>  5200</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,5 Prozent</b>."
"03462","Wittmund",6.18915558955723,"Hier leben rund <b>   52 280</b> deutsche Personen, davon sind etwa <b>  3240</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"04011","Bremen (Stadt)",7.4041792576796,"Hier leben rund <b>  452 040</b> deutsche Personen, davon sind etwa <b> 33 470</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,4 Prozent</b>."
"04012","Bremerhaven (Stadt)",7.95380611581002,"Hier leben rund <b>   92 220</b> deutsche Personen, davon sind etwa <b>  7340</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,0 Prozent</b>."
"05111","Düsseldorf (Stadt)",7.18764492500429,"Hier leben rund <b>  472 230</b> deutsche Personen, davon sind etwa <b> 33 940</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,2 Prozent</b>."
"05112","Duisburg (Stadt)",7.56848841547247,"Hier leben rund <b>  383 310</b> deutsche Personen, davon sind etwa <b> 29 010</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,6 Prozent</b>."
"05113","Essen (Stadt)",6.84789357556122,"Hier leben rund <b>  465 460</b> deutsche Personen, davon sind etwa <b> 31 870</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05114","Krefeld (Stadt)",6.91738187560502,"Hier leben rund <b>  184 910</b> deutsche Personen, davon sind etwa <b> 12 790</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,9 Prozent</b>."
"05116","Mönchengladbach (Stadt)",7.01607802041144,"Hier leben rund <b>  211 840</b> deutsche Personen, davon sind etwa <b> 14 860</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,0 Prozent</b>."
"05117","Mülheim an der Ruhr (Stadt)",6.13114384064105,"Hier leben rund <b>  141 770</b> deutsche Personen, davon sind etwa <b>  8690</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"05119","Oberhausen (Stadt)",6.59760555082055,"Hier leben rund <b>  174 820</b> deutsche Personen, davon sind etwa <b> 11 530</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"05120","Remscheid (Stadt)",7.30587116034424,"Hier leben rund <b>   91 450</b> deutsche Personen, davon sind etwa <b>  6680</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,3 Prozent</b>."
"05122","Solingen (Stadt)",6.98984513649049,"Hier leben rund <b>  135 800</b> deutsche Personen, davon sind etwa <b>  9490</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,0 Prozent</b>."
"05124","Wuppertal (Stadt)",7.77887613109269,"Hier leben rund <b>  276 170</b> deutsche Personen, davon sind etwa <b> 21 480</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,8 Prozent</b>."
"05154","Kleve",6.39539101186226,"Hier leben rund <b>  261 920</b> deutsche Personen, davon sind etwa <b> 16 750</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
"05158","Mettmann",6.24953609148396,"Hier leben rund <b>  417 650</b> deutsche Personen, davon sind etwa <b> 26 100</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"05162","Rhein-Kreis Neuss",6.32016962493302,"Hier leben rund <b>  390 040</b> deutsche Personen, davon sind etwa <b> 24 650</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"05166","Viersen",6.02548625083836,"Hier leben rund <b>  260 930</b> deutsche Personen, davon sind etwa <b> 15 720</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,0 Prozent</b>."
"05170","Wesel",5.95679224698008,"Hier leben rund <b>  406 960</b> deutsche Personen, davon sind etwa <b> 24 240</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,0 Prozent</b>."
"05314","Bonn (Stadt)",9.22954159201728,"Hier leben rund <b>  260 660</b> deutsche Personen, davon sind etwa <b> 24 060</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 9,2 Prozent</b>."
"05315","Köln (Stadt)",7.95718905176952,"Hier leben rund <b>  824 460</b> deutsche Personen, davon sind etwa <b> 65 600</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,0 Prozent</b>."
"05316","Leverkusen (Stadt)",7.06930243791763,"Hier leben rund <b>  136 630</b> deutsche Personen, davon sind etwa <b>  9660</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,1 Prozent</b>."
"05334","Städteregion Aachen",9.11181163095832,"Hier leben rund <b>  477 110</b> deutsche Personen, davon sind etwa <b> 43 470</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 9,1 Prozent</b>."
