"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"01001","Flensburg, Stadt",54.5304971206957,"Hier leben rund <b>  8510 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1392 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+54,5 je 1.000 Personen</b>."
"01002","Kiel, Landeshauptstadt",87.9257144505003,"Hier leben rund <b> 23 120 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 6098 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+87,9 je 1.000 Personen</b>."
"01003","Lübeck, Hansestadt",33.9104853017135,"Hier leben rund <b> 14 840 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1510 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+33,9 je 1.000 Personen</b>."
"01004","Neumünster, Stadt",-6.86760778328882,"Hier leben rund <b>  5240 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  108 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-6,9 je 1.000 Personen</b>."
"10041","Regionalverband Saarbrücken",10.8196958202377,"Hier leben rund <b> 18 450 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  599 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+10,8 je 1.000 Personen</b>."
"10042","Merzig-Wadern",-26.2755380749481,"Hier leben rund <b>  6100 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  481 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-26,3 je 1.000 Personen</b>."
"10043","Neunkirchen",-9.78455169818421,"Hier leben rund <b>  7090 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  208 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-9,8 je 1.000 Personen</b>."
"10044","Saarlouis",-19.046753875969,"Hier leben rund <b> 11 010 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  629 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-19,0 je 1.000 Personen</b>."
"10045","Saarpfalz-Kreis",-4.62731365682841,"Hier leben rund <b>  8000 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  111 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,6 je 1.000 Personen</b>."
"10046","St. Wendel",-30.6595365418895,"Hier leben rund <b>  4680 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  430 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-30,7 je 1.000 Personen</b>."
