"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"01001","Flensburg, Stadt",5.45304971206957,"Hier leben rund <b>  8510 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1392 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+5,5 je 100 Personen</b>."
"01002","Kiel, Landeshauptstadt",8.79257144505003,"Hier leben rund <b> 23 120 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 6098 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+8,8 je 100 Personen</b>."
"01003","Lübeck, Hansestadt",3.39104853017135,"Hier leben rund <b> 14 840 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1510 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+3,4 je 100 Personen</b>."
"01004","Neumünster, Stadt",-0.686760778328882,"Hier leben rund <b>  5240 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  108 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-0,7 je 100 Personen</b>."
"10041","Regionalverband Saarbrücken",1.08196958202377,"Hier leben rund <b> 18 450 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  599 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+1,1 je 100 Personen</b>."
"10042","Merzig-Wadern",-2.62755380749481,"Hier leben rund <b>  6100 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  481 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,6 je 100 Personen</b>."
"10043","Neunkirchen",-0.978455169818421,"Hier leben rund <b>  7090 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  208 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-1,0 je 100 Personen</b>."
"10044","Saarlouis",-1.9046753875969,"Hier leben rund <b> 11 010 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  629 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-1,9 je 100 Personen</b>."
"10045","Saarpfalz-Kreis",-0.462731365682841,"Hier leben rund <b>  8000 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  111 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-0,5 je 100 Personen</b>."
"10046","St. Wendel",-3.06595365418895,"Hier leben rund <b>  4680 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  430 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,1 je 100 Personen</b>."
"01051","Dithmarschen",-2.96296296296296,"Hier leben rund <b>  8420 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  748 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,0 je 100 Personen</b>."
"01053","Herzogtum Lauenburg",-3.89685143613653,"Hier leben rund <b> 11 580 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1354 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,9 je 100 Personen</b>."
"01054","Nordfriesland",-3.24586977648202,"Hier leben rund <b> 10 290 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1002 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,2 je 100 Personen</b>."
"01055","Ostholstein",-4.12979351032448,"Hier leben rund <b> 10 280 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1274 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,1 je 100 Personen</b>."
"01056","Pinneberg",-2.46832678025339,"Hier leben rund <b> 18 310 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1356 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,5 je 100 Personen</b>."
"01057","Plön",-5.69317687961756,"Hier leben rund <b>  6900 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1179 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-5,7 je 100 Personen</b>."
"01058","Rendsburg-Eckernförde",-5.06280310870315,"Hier leben rund <b> 16 430 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2495 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-5,1 je 100 Personen</b>."
"01059","Schleswig-Flensburg",-3.8173779969393,"Hier leben rund <b> 11 760 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1347 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,8 je 100 Personen</b>."
"01060","Segeberg",-2.90559447916009,"Hier leben rund <b> 15 840 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1381 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,9 je 100 Personen</b>."
"01061","Steinburg",-3.10588438011545,"Hier leben rund <b>  7740 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  721 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,1 je 100 Personen</b>."
"01062","Stormarn",-5.18430025635282,"Hier leben rund <b> 13 390 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2083 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-5,2 je 100 Personen</b>."
"11000","Berlin, Stadt",3.12272219571157,"Hier leben rund <b>190 700 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>17 865 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+3,1 je 100 Personen</b>."
"12051","Brandenburg an der Havel, Stadt",4.22885572139303,"Hier leben rund <b>  3750 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  476 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+4,2 je 100 Personen</b>."
"12052","Cottbus, Stadt",2.42585889375754,"Hier leben rund <b>  5250 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  382 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+2,4 je 100 Personen</b>."
